epoch,loss,mean_absolute_error,val_loss,val_mean_absolute_error
100,0.010857070027536723,0.07881338208886568,0.008476448527350074,0.0722301764077206
101,0.009610570103005818,0.07578352030033876,0.008706213474317917,0.07243586128752953
102,0.009070277770141577,0.07379995894324488,0.008634209107572847,0.06962336025392736
103,0.008535241103129577,0.07120757528212834,0.007586421463970313,0.06805449189575574
104,0.00832944450359932,0.07090528527398564,0.00934405166867479,0.07493945330608892
105,0.008616605363228747,0.07239499843219985,0.008991202439850575,0.078716908942551
106,0.007629928462290726,0.06809739737184402,0.006930891739597909,0.06236625151223708
107,0.008175135287780699,0.06939758801428945,0.008168183767139608,0.07281397173119562
108,0.0075648622177728496,0.06696146890701483,0.006717013397378068,0.06202301122026994
109,0.0073761122528040604,0.0649689094359019,0.0067762058438374595,0.06342474978489832
110,0.009086627694774953,0.07572086847363636,0.007765962342566561,0.07206103733983255
111,0.008786058859265141,0.07510130959615087,0.007631307369867455,0.06896231176870368
112,0.007286453277773956,0.06808028334565759,0.006999085798695292,0.0670994332943355
113,0.007718140829413251,0.06910777343481758,0.0069475125116979395,0.06256560053584735
114,0.007517106287004347,0.06804446589907255,0.0064519880745525175,0.06262641514480063
115,0.00672928485015068,0.06364322930696976,0.006501308573604237,0.060905380830156085
116,0.006901948723192217,0.0647836088970804,0.006638274693970613,0.06260404366118308
117,0.0067754351362238775,0.06352164494356718,0.006881013095530542,0.0629366914709308
118,0.00682083846201581,0.06369598253434561,0.009228036708125024,0.07392249200761672
119,0.007986015044850643,0.06828793804511268,0.006610788620986278,0.06175982456676428
120,0.009551484589710718,0.0700243581422584,0.022683614596370624,0.11242593743975027
121,0.023130162173713182,0.10849993954939686,0.015943871788914373,0.09615083297270653
122,0.016386676235015954,0.09328807736535254,0.01386063653135244,0.08752830624833159
123,0.014358190058306904,0.08653320878512624,0.013509581675176352,0.08438115091117587
124,0.017444142148533598,0.09337260688491028,0.014747781910482507,0.08662362294974622
125,0.015619750449768833,0.08845290931285123,0.012708384403050502,0.08220050703857387
126,0.014269818046281524,0.08611828974080679,0.01371796845448179,0.08917391716018383
127,0.013789266924402957,0.08436443219895447,0.013253351224016042,0.08697391468857789
128,0.014464994429476408,0.08612522077405182,0.012262095684585327,0.08193715562549458
129,0.013191856360899168,0.08293582151605845,0.01207371343059925,0.08215407151302309
